Topic  precision  recall     F1
101    0.5        0.7143     0.5882
102    0.2        0.0148     0.0276
103    0.0        0.0        0
104    0.0        0.0        0
105    0.3        0.1875     0.2308
106    0.1        0.25       0.1429
107    0.0        0.0        0
108    0.0        0.0        0
109    0.3        0.15       0.2
110    0.2        0.4        0.2667
111    0.0        0.0        0
112    0.1        0.1667     0.125
113    0.0        0.0        0
114    0.3        0.6        0.4
115    0.1        0.3333     0.1538
116    0.0        0.0        0
117    0.2        0.6667     0.3077
118    0.1        0.3333     0.1538
119    0.3        0.75       0.4286
120    0.2        0.2222     0.2105
121    0.1        0.0714     0.0833
122    0.0        0.0        0
123    0.0        0.0        0
124    0.2        0.3333     0.25
125    0.2        0.1667     0.1818
126    1.0        0.5263     0.6897
127    0.0        0.0        0
128    0.0        0.0        0
129    0.2        0.1176     0.1481
130    0.1        0.3333     0.1538
131    0.0        0.0        0
132    0.0        0.0        0
133    0.0        0.0        0
134    0.3        0.6        0.4
135    0.7        0.5        0.5833
136    0.1        0.125      0.1111
137    0.1        0.3333     0.1538
138    0.0        0.0        0
139    0.0        0.0        0
140    0.4        0.3636     0.381
141    0.1        0.0417     0.0588
142    0.1        0.25       0.1429
143    0.0        0.0        0
144    0.1        0.1667     0.125
145    0.2        0.4        0.2667
146    0.1        0.0769     0.087
147    0.0        0.0        0
148    0.5        0.4167     0.4545
149    0.1        0.2        0.1333
150    0.2        0.5        0.2857
